Member of Congress;District ID;First Elected;cid;firstlastp
Jerry Carl (R);AL01;2020;N00044245;Jerry Carl (R)
Jay Obernolte (R);CA08;2020;N00045377;Jay Obernolte (R)
Mike Garcia (R);CA25;2020;N00044298;Mike Garcia (R)
Lauren Boebert (R);CO03;2020;N00045974;Lauren Boebert (R)
Kat Cammack (R);FL03;2020;N00045978;Kat Cammack (R)
Scott Franklin (R);FL15;2020;N00046760;Scott Franklin (R)
Byron Donalds (R);FL19;2020;N00034016;Byron Donalds (R)
Carlos Gimenez (R);FL26;2020;N00046394;Carlos Gimenez (R)
Marjorie Greene (R);GA14;2020;N00044701;Marjorie Greene (R)
Andrew Clyde (R);GA09;2020;N00046654;Andrew Clyde (R)
Mary Miller (R);IL15;2020;N00045703;Mary Miller (R)
Tracey Mann (R);KS01;2020;N00030743;Tracey Mann (R)
Jake Laturner (R);KS02;2020;N00044232;Jake Laturner (R)
Lisa McClain (R);MI10;2020;N00045730;Lisa McClain (R)
Michelle Fischbach (R);MN07;2020;N00045251;Michelle Fischbach (R)
Madison Cawthorn (R);NC11;2020;N00046252;Madison Cawthorn (R)
Nicole Malliotakis (R);NY11;2020;N00044040;Nicole Malliotakis (R)
Chris Jacobs (R);NY27;2020;N00044575;Chris Jacobs (R)
Stephanie Bice (R);OK05;2020;N00044579;Stephanie Bice (R)
Cliff Bentz (R);OR02;2020;N00045773;Cliff Bentz (R)
Diana Harshbarger (R);TN01;2020;N00046688;Diana Harshbarger (R)
Patrick Fallon (R);TX04;2020;N00047264;Patrick Fallon (R)
August Pfluger (R);TX11;2020;N00045421;August Pfluger (R)
Ronny Jackson (R);TX13;2020;N00046055;Ronny Jackson (R)
Troy Nehls (R);TX22;2020;N00046067;Troy Nehls (R)
Beth Van Duyne (R);TX24;2020;N00045167;Beth Van Duyne (R)
Burgess Owens (R);UT04;2020;N00045812;Burgess Owens (R)
Bob Good (R);VA05;2020;N00045557;Bob Good (R)
Scott Fitzgerald (R);WI05;2020;N00045434;Scott Fitzgerald (R)
Tom Tiffany (R);WI07;2020;N00045307;Tom Tiffany (R)
Matt Rosendale (R);MT01;2020;N00035517;Matt Rosendale (R)
Barry Moore (R);AL02;2020;N00041295;Barry Moore (R)
Yvette Herrell (R);NM02;2020;N00041454;Yvette Herrell (R)
Tommy Tuberville (R);ALS1;2020;N00044434;Tommy Tuberville (R)
Greg Murphy (R);NC03;2019;N00044027;Greg Murphy (R)
Dan Bishop (R);NC09;2019;N00044335;Dan Bishop (R)
Fred Keller (R);PA12;2019;N00044065;Fred Keller (R)
Jim Hagedorn (R);MN01;2018;N00031390;Jim Hagedorn (R)
Debbie Lesko (R);AZ08;2018;N00042056;Debbie Lesko (R)
Greg Steube (R);FL17;2018;N00042808;Greg Steube (R)
Russ Fulcher (R);ID01;2018;N00041335;Russ Fulcher (R)
Jim Baird (R);IN04;2018;N00041954;Jim Baird (R)
Greg Pence (R);IN06;2018;N00041956;Greg Pence (R)
Michael Guest (R);MS03;2018;N00042458;Michael Guest (R)
Jeff Van Drew (R);NJ02;2018;N00042164;Jeff Van Drew (R)
Kevin Hern (R);OK01;2018;N00040829;Kevin Hern (R)
Dan Meuser (R);PA09;2018;N00029416;Dan Meuser (R)
John Joyce (R);PA13;2018;N00043242;John Joyce (R)
Guy Reschenthaler (R);PA14;2018;N00041871;Guy Reschenthaler (R)
William Timmons (R);SC04;2018;N00042715;William Timmons (R)
Tim Burchett (R);TN02;2018;N00041594;Tim Burchett (R)
John Rose (R);TN06;2018;N00041599;John Rose (R)
Mark Green (R);TN07;2018;N00041873;Mark Green (R)
Lance Gooden (R);TX05;2018;N00042237;Lance Gooden (R)
Ron Wright (R);TX06;2018;N00042240;Ron Wright (R)
Michael Cloud (R);TX27;2018;N00041882;Michael Cloud (R)
Ben Cline (R);VA06;2018;N00042296;Ben Cline (R)
Carol Miller (R);WV03;2018;N00041542;Carol Miller (R)
Rick Scott (R);FLS1;2018;N00043290;Rick Scott (R)
Josh Hawley (R);MOS2;2018;N00041620;Josh Hawley (R)
Cindy Hyde-Smith (R);MSS1;2018;N00043298;Cindy Hyde-Smith (R)
Ron Estes (R);KS04;2017;N00040712;Ron Estes (R)
Ralph Norman (R);SC05;2017;N00027783;Ralph Norman (R)
David Kustoff (R);TN08;2016;N00025445;David Kustoff (R)
Andy Biggs (R);AZ05;2016;N00039293;Andy Biggs (R)
Matt Gaetz (R);FL01;2016;N00039503;Matt Gaetz (R)
Neal Dunn (R);FL02;2016;N00037442;Neal Dunn (R)
John Rutherford (R);FL04;2016;N00039777;John Rutherford (R)
Brian Mast (R);FL18;2016;N00037269;Brian Mast (R)
Jim Banks (R);IN03;2016;N00037185;Jim Banks (R)
Clay Higgins (R);LA03;2016;N00039953;Clay Higgins (R)
Mike Johnson (R);LA04;2016;N00039106;Mike Johnson (R)
John Bergman (R);MI01;2016;N00039533;John Bergman (R)
Ted Budd (R);NC13;2016;N00039551;Ted Budd (R)
Warren Davidson (R);OH08;2016;N00038767;Warren Davidson (R)
Lloyd Smucker (R);PA11;2016;N00038781;Lloyd Smucker (R)
Jodey Arrington (R);TX19;2016;N00038285;Jodey Arrington (R)
Roger Marshall (R);KSS1;2016;N00037034;Roger Marshall (R)
John Kennedy (R);LAS2;2016;N00026823;John Kennedy (R)
Trent Kelly (R);MS01;2015;N00037003;Trent Kelly (R)
Jody Hice (R);GA10;2014;N00032243;Jody Hice (R)
Richard W Allen (R);GA12;2014;N00033720;Richard W Allen (R)
David Rouzer (R);NC07;2014;N00033527;David Rouzer (R)
Gary Palmer (R);AL06;2014;N00035691;Gary Palmer (R)
Buddy Carter (R);GA01;2014;N00035346;Buddy Carter (R)
Barry Loudermilk (R);GA11;2014;N00035347;Barry Loudermilk (R)
Mike Bost (R);IL12;2014;N00035420;Mike Bost (R)
Garret Graves (R);LA06;2014;N00036135;Garret Graves (R)
Elise Stefanik (R);NY21;2014;N00035523;Elise Stefanik (R)
Alex Mooney (R);WV02;2014;N00033814;Alex Mooney (R)
Brian Babin (R);TX36;2014;N00005736;Brian Babin (R)
Lee Zeldin (R);NY01;2014;N00029404;Lee Zeldin (R)
Jason Smith (R);MO08;2013;N00035282;Jason Smith (R)
Jackie Walorski (R);IN02;2012;N00031226;Jackie Walorski (R)
Doug LaMalfa (R);CA01;2012;N00033987;Doug LaMalfa (R)
Richard Hudson (R);NC08;2012;N00033630;Richard Hudson (R)
Markwayne Mullin (R);OK02;2012;N00033410;Markwayne Mullin (R)
Scott Perry (R);PA10;2012;N00034120;Scott Perry (R)
Tom Rice (R);SC07;2012;N00033832;Tom Rice (R)
Randy Weber (R);TX14;2012;N00033539;Randy Weber (R)
Roger Williams (R);TX25;2012;N00030602;Roger Williams (R)
Chris Stewart (R);UT02;2012;N00033932;Chris Stewart (R)
Ted Cruz (R);TXS2;2012;N00033085;Ted Cruz (R)
Mo Brooks (R);AL05;2010;N00030910;Mo Brooks (R)
Rick Crawford (R);AR01;2010;N00030770;Rick Crawford (R)
Paul Gosar (R);AZ04;2010;N00030771;Paul Gosar (R)
Daniel Webster (R);FL11;2010;N00026335;Daniel Webster (R)
Vicky Hartzler (R);MO04;2010;N00031005;Vicky Hartzler (R)
Billy Long (R);MO07;2010;N00030676;Billy Long (R)
Steven Palazzo (R);MS04;2010;N00031958;Steven Palazzo (R)
Bill Johnson (R);OH06;2010;N00032088;Bill Johnson (R)
Bob Gibbs (R);OH07;2010;N00031128;Bob Gibbs (R)
Mike Kelly (R);PA16;2010;N00031647;Mike Kelly (R)
Jeff Duncan (R);SC03;2010;N00030752;Jeff Duncan (R)
Chuck Fleischmann (R);TN03;2010;N00030815;Chuck Fleischmann (R)
Scott Desjarlais (R);TN04;2010;N00030957;Scott Desjarlais (R)
Morgan Griffith (R);VA09;2010;N00032029;Morgan Griffith (R)
David Schweikert (R);AZ06;2010;N00006460;David Schweikert (R)
Andy Harris (R);MD01;2010;N00029147;Andy Harris (R)
Steve Scalise (R);LA01;2008;N00009660;Steve Scalise (R)
Bill Posey (R);FL08;2008;N00029662;Bill Posey (R)
Blaine Luetkemeyer (R);MO03;2008;N00030026;Blaine Luetkemeyer (R)
Glenn Thompson (R);PA15;2008;N00029736;Glenn Thompson (R)
Cynthia Lummis (R);WYS2;2008;N00029788;Cynthia Lummis (R)
Rob Wittman (R);VA01;2007;N00029459;Rob Wittman (R)
Tim Walberg (R);MI07;2006;N00026368;Tim Walberg (R)
Kevin McCarthy (R);CA23;2006;N00028152;Kevin McCarthy (R)
Douglas L Lamborn (R);CO05;2006;N00028133;Douglas L Lamborn (R)
Adrian Smith (R);NE03;2006;N00027623;Adrian Smith (R)
Jim Jordan (R);OH04;2006;N00027894;Jim Jordan (R)
Virginia Foxx (R);NC05;2004;N00026166;Virginia Foxx (R)
Louis B Gohmert Jr. (R);TX01;2004;N00026148;Louis B Gohmert Jr. (R)
Mike D Rogers (R);AL03;2002;N00024759;Mike D Rogers (R)
Mario Diaz-Balart (R);FL25;2002;N00025337;Mario Diaz-Balart (R)
Tom Cole (R);OK04;2002;N00025726;Tom Cole (R)
Michael Burgess (R);TX26;2002;N00025219;Michael Burgess (R)
John Carter (R);TX31;2002;N00025095;John Carter (R)
Devin Nunes (R);CA22;2002;N00007248;Devin Nunes (R)
Joe Wilson (R);SC02;2001;N00024809;Joe Wilson (R)
Darrell Issa (R);CA50;2000;N00007017;Darrell Issa (R)
Sam Graves (R);MO06;2000;N00013323;Sam Graves (R)
Pete Sessions (R);TX17;1996;N00005681;Pete Sessions (R)
Robert B Aderholt (R);AL04;1996;N00003028;Robert B Aderholt (R)
Frank D Lucas (R);OK03;1994;N00005559;Frank D Lucas (R)
Steve Chabot (R);OH01;1994;N00003689;Steve Chabot (R)
Ken Calvert (R);CA42;1992;N00007099;Ken Calvert (R)
Hal Rogers (R);KY05;1980;N00003473;Hal Rogers (R)